日期,开盘价,最高价,最低价,收盘价,收益率,ARIMA预测值,信号,信号说明
2025-04-03,5769.4,5786.6,5692.6,5726.6,-0.0075904616664355,0.0002615026573713341,1.0,做多
2025-04-08,5151.2,5250.8,5076.6,5165.2,0.0027178133250505,0.00014145869754245708,1.0,做多
2025-04-09,5125.2,5329.2,4993.2,5283.6,0.022922636103152,0.00016269910317781743,1.0,做多
2025-04-10,5300.2,5488.4,5300.2,5399.0,0.0218411688999924,0.00015894085634725826,1.0,做多
2025-04-11,5417.6,5504.0,5381.6,5442.6,0.0080755695499166,0.0001596058351373005,1.0,做多
2025-04-14,5493.2,5514.0,5453.6,5455.0,0.0022783228603975,0.00015948817474639417,1.0,做多
2025-04-15,5463.2,5468.6,5399.2,5435.2,-0.0036296975252062,0.00015950899340677182,1.0,做多
2025-04-16,5427.0,5427.0,5333.2,5384.8,-0.0092728878422136,0.00015950530978294073,1.0,做多
2025-04-17,5371.8,5459.4,5367.6,5410.8,0.0048284058832268,0.00015950596155804453,1.0,做多
2025-04-18,5426.4,5442.2,5370.2,5400.0,-0.0019960079840319,0.0001595058462338949,1.0,做多
2025-04-21,5414.6,5507.6,5368.4,5485.2,0.0157777777777776,0.0001595058666391841,1.0,做多
2025-04-22,5493.6,5500.2,5454.8,5471.4,-0.0025158608619558,0.00015950586302870156,1.0,做多
2025-04-23,5482.6,5546.0,5461.2,5480.8,0.0017180246372043,0.00015950586366753517,1.0,做多
2025-04-24,5481.4,5500.0,5428.0,5463.0,-0.0032477010655379,0.00015950586355450085,1.0,做多
2025-04-25,5460.4,5527.6,5450.8,5481.6,0.0034047226798463,0.000159505863574501,1.0,做多
2025-04-28,5483.2,5491.2,5429.2,5454.2,-0.0049985405720958,0.0001595058635709622,1.0,做多
2025-04-29,5457.6,5486.8,5424.6,5468.6,0.00264016721059,0.00015950586357158834,1.0,做多
2025-04-30,5468.0,5511.0,5465.4,5475.8,0.0013166075412354,0.00015950586357147756,1.0,做多
2025-05-06,5488.6,5599.2,5488.6,5595.8,0.0219146060849555,0.00015950586357149716,1.0,做多
2025-05-07,5594.2,5710.0,5564.6,5594.4,-0.0002501876407305,0.0001595058635714937,1.0,做多
2025-05-08,5583.6,5653.0,5583.6,5628.4,0.006077506077506,0.0001595058635714943,1.0,做多
2025-05-09,5628.4,5628.4,5549.6,5568.2,-0.0106957572311846,0.00015950586357149418,1.0,做多
2025-05-12,5568.6,5649.0,5568.6,5642.8,0.0133975072734457,0.0001595058635714942,1.0,做多
2025-05-13,5629.0,5671.8,5592.6,5605.6,-0.0065924718224994,0.0001595058635714942,1.0,做多
2025-05-14,5604.8,5690.0,5578.6,5642.0,0.0064935064935063,0.0001595058635714942,1.0,做多
2025-05-15,5629.2,5631.8,5538.8,5557.4,-0.0149946827366183,0.0001595058635714942,1.0,做多
2025-05-16,5550.6,5573.4,5524.6,5526.0,-0.0056501241587791,0.0001595058635714942,1.0,做多
2025-05-19,5525.8,5535.6,5460.6,5529.6,0.0006514657980456,0.0001595058635714942,1.0,做多
2025-05-20,5526.0,5560.6,5501.2,5549.4,0.0035807291666665,0.0001595058635714942,1.0,做多
2025-05-21,5544.6,5559.8,5525.6,5553.0,0.0006487187804087,0.0001595058635714942,1.0,做多
2025-05-22,5550.0,5565.4,5494.4,5516.6,-0.0065550153070411,0.0001595058635714942,1.0,做多
2025-05-23,5515.0,5561.0,5458.0,5463.8,-0.0095711126418446,0.0001595058635714942,1.0,做多
2025-05-26,5477.4,5514.6,5454.4,5487.2,0.0042827336286099,0.0001595058635714942,1.0,做多
2025-05-27,5483.6,5490.8,5437.2,5471.6,-0.0028429800262428,0.0001595058635714942,1.0,做多
2025-05-28,5474.8,5487.6,5442.6,5462.6,-0.0016448570801959,0.0001595058635714942,1.0,做多
2025-05-29,5457.4,5588.0,5457.4,5568.0,0.01929484128437,0.0001595058635714942,1.0,做多
2025-05-30,5561.4,5561.4,5484.8,5523.6,-0.0079741379310344,0.0001595058635714942,1.0,做多
2025-06-03,5515.0,5563.0,5497.6,5529.8,0.0011224563690346,0.0001595058635714942,1.0,做多
2025-06-04,5537.2,5591.2,5534.4,5574.2,0.0080292234800534,0.0001595058635714942,1.0,做多
2025-06-05,5574.0,5622.0,5555.0,5606.0,0.0057048545082702,0.0001595058635714942,1.0,做多
2025-06-06,5607.8,5615.2,5589.8,5607.4,0.0002497324295396,0.0001595058635714942,1.0,做多
2025-06-09,5602.0,5685.8,5602.0,5653.6,0.0082391126012055,0.0001595058635714942,1.0,做多
2025-06-10,5656.2,5659.4,5570.8,5601.4,-0.0092330550445735,0.0001595058635714942,1.0,做多
2025-06-11,5601.8,5684.8,5601.8,5641.8,0.0072124825936374,0.0001595058635714942,1.0,做多
2025-06-12,5649.2,5660.8,5612.4,5654.6,0.0022687794675457,0.0001595058635714942,1.0,做多
2025-06-13,5651.2,5651.2,5580.2,5601.8,-0.0093375305061366,0.0001595058635714942,1.0,做多
2025-06-16,5603.0,5644.4,5592.2,5629.6,0.0049626905637474,0.0001595058635714942,1.0,做多
2025-06-17,5631.2,5635.8,5593.0,5618.0,-0.0020605371607219,0.0001595058635714942,1.0,做多
2025-06-18,5604.6,5622.4,5567.8,5600.8,-0.0030615877536489,0.0001595058635714942,1.0,做多
2025-06-19,5600.0,5605.2,5510.2,5536.6,-0.0114626481931152,0.0001595058635714942,1.0,做多
2025-06-20,5525.0,5549.0,5494.0,5494.0,-0.0076942527905212,0.0001595058635714942,1.0,做多
2025-06-23,5495.2,5548.4,5472.4,5533.0,0.007098653076083,0.0001595058635714942,1.0,做多
2025-06-24,5538.2,5653.0,5538.2,5639.0,0.019157780589192,0.0001595058635714942,1.0,做多
2025-06-25,5632.0,5769.2,5632.0,5759.6,0.0213867707040256,0.0001595058635714942,1.0,做多
2025-06-26,5746.0,5765.2,5725.0,5731.2,-0.0049308979790264,0.0001595058635714942,1.0,做多
2025-06-27,5734.0,5801.8,5727.0,5747.8,0.0028964265773312,0.0001595058635714942,1.0,做多
2025-06-30,5751.0,5791.4,5751.0,5773.4,0.0044538780054976,0.0001595058635714942,1.0,做多
2025-07-01,5779.2,5784.2,5727.6,5769.2,-0.0007274742785879,0.0001595058635714942,1.0,做多
2025-07-02,5774.2,5774.2,5729.6,5759.8,-0.0016293420231573,0.0001595058635714942,1.0,做多
2025-07-03,5752.6,5790.4,5739.0,5773.0,0.0022917462411888,0.0001595058635714942,1.0,做多
2025-07-04,5773.8,5838.0,5732.6,5773.4,6.928806513073482e-05,0.0001595058635714942,1.0,做多
